Num,target,statement,classification,rationale
11,Neutral,"If you want to use Aadhaar authentication, then your devices will have to be registered with us, Ajay Bhushan Pandey, CEO of UIDAI told PTI.",Neutral,This is a direct quote from the UIDAI CEO explaining a technical requirement for Aadhaar authentication in a factual manner.
12,Neutral,"All devices will have to be registered by us, it will further add to the security, he said.",Pro,"The statement justifies a government policy (device registration) by explicitly stating its benefit ('further add to the security'), making it supportive of the agency's action."
13,Pro,"Unique Identification Authority of India (UIDAI), the nodal body responsible for rolling out the Aadhaar programme in the country, has also come out in favour of incentives for shopkeepers using the biometric mode for digital transactions, in line with commission given by banks to business correspondents, in a bid to promote Aadhaar-based payment system in rural pockets.",Pro,"The statement describes a UIDAI initiative ('incentives for shopkeepers') with a stated positive goal ('promote Aadhaar-based payment system'), indicating support for the government's program."
14,Pro,We have recently come out with new specifications and asked manufacturers and vendors to go for STQC certification as per the new standards.,Neutral,"This is a factual statement about a new procedural requirement issued by an authority, without any evaluative language."
15,Pro,"They know when they make specially designed biometric fingerprint scanner for Aadhaar and put another lock as per UIDAI's requirement, it will sell in the market.",Pro,"The statement suggests that UIDAI's requirements are creating a viable market for secure devices, which is a positive outcome and an endorsement of the policy's effectiveness."
16,Pro,"At UIDAI, we are very strict on the privacy issue.",Pro,This is a self-promotional statement from a government agency (UIDAI) intended to build public trust and portray its handling of privacy in a positive light.
17,Pro,"Aadhar to bring transparency in welfare schemes: PMNew Delhi, Aug 15, 2012, (IANS): 9:57 ISTThe government wanted to create a system through which money from central welfare schemes could be credited directly into bank accounts of beneficiaries and would utilise the unique identification number Aadhar scheme for this, Prime Minister Manmohan Singh said Wednesday.",Pro,"The statement, attributed to the Prime Minister, explicitly frames the Aadhaar scheme as a positive government initiative aimed at bringing 'transparency' to welfare schemes."
18,Pro,"Now, in a more ambitious version of programmes that have slashed poverty in Brazil and Mexico, the government has begun to use the UID database, known as Aadhaar, to make direct cash transfers to the poor, in an attempt to cut out frauds who siphon billions of dollars from welfare schemes.",Pro,"The statement portrays the government's use of Aadhaar in a positive light, describing it as 'ambitious' and aimed at tackling a major problem ('frauds who siphon billions')."
19,Pro,"Now, in a more ambitious version of programmes that have slashed poverty in Brazil and Mexico, the government has begun to use the UID database, known as Aadhaar, to make direct cash transfers to the poor, in an attempt to cut out frauds who siphon billions of dollars from welfare schemes.",Pro,"The statement portrays the government's use of Aadhaar in a positive light, describing it as 'ambitious' and aimed at tackling a major problem ('frauds who siphon billions')."
20,Anti,"The growing gap between demand and supply of energy has emerged as a major constraint on our development, he said.",Neutral,"This statement identifies a national problem ('a major constraint on our development') without assigning blame or criticizing the government's specific actions, making it a neutral observation."
21,Pro,"He said he has no doubt that, in the time that is available to the government, each one of them will bring the best efforts to complete the unfinished task.",Pro,"The statement expresses confidence ('no doubt') in the government's ability and effort ('best efforts') to achieve its goals, which is a supportive stance."
22,Neutral,The party plans to finalise most candidates by the end of February.,Neutral,"This is a factual statement about a political party's internal timeline and process, devoid of any pro or anti sentiment."
23,Pro,The scheme is aimed at directly transferring cash to beneficiaries under social schemes such as MNREGA and pension.,Neutral,The statement factually describes the objective of a government scheme without evaluating its effectiveness or worth.
24,Pro,"Chidambaram also said the government was mulling incorporating Aadhar numbers in the future resident identity cards of the National Population Register(NPR), which falls under the home ministry.",Neutral,This statement reports on a potential future government policy ('mulling incorporating Aadhar numbers') without taking a stance on the idea.
25,Anti,His comments came against the backdrop of reports of differences between the home ministry and the Planning Commission over carrying out the bio-metric collections for the ambitious unique identification number project.,Neutral,"The statement factually reports on 'differences' between government bodies. While the content describes a conflict, the tone is that of neutral reporting."
26,Neutral,"This can be done, parallel with whatever others (home ministry) are doing.",Neutral,The statement proposes a method of concurrent operation between two government efforts. It is a procedural suggestion rather than an overt political endorsement or criticism.
27,Pro,NEW DELHI: The Unique Identification Authority of India (UIDAI) will move the Supreme Court to explain its position related to the Aadhaar scheme and also make a bid to save the UPA's showpiece initiative which aims at ensuring transparency in accessing public services and payment of subsidies.,Pro,"The statement describes UIDAI's action as a move to 'save' a 'showpiece initiative' of the then-ruling UPA government, framing the agency's action in a supportive light."
28,Neutral,He also said that UIDAI will detail its position on the Aadhaar system to the apex court in an affidavit to be filed shortly.,Neutral,"This is a procedural statement about a future legal filing by a government agency, presented factually."
29,Pro,Last month the SC ruled that Aadhaar can only be issued to those with proven Indian nationality and cannot be mandatory for accessing public services and subsidies.,Neutral,"The statement factually reports a Supreme Court ruling that placed limitations on the government's Aadhaar scheme, without adding any commentary."
30,Neutral,Deputy chairman of Planning Commission Montek Singh Ahluwalia told TOI that UIDAI will detail its position on the Aadhaar system to the apex court in an affidavit to be filed shortly.,Neutral,"This is a factual report of a statement made by a government official about an upcoming legal action, devoid of any bias."
31,Neutral,Just recently it was reported that Rajnath Singh is considering the merger of Aadhaar with the National Population Register (NPR) exercise.,Neutral,The statement reports on a policy consideration by a senior government minister without expressing an opinion on the matter.
32,Neutral,We will review Aadhaar project if BJP-led NDA comes to power and look into its flaws.,Anti,"This is a statement from a political party promising to review the Aadhaar project and investigate its 'flaws,' which is a clear critical stance against the incumbent government's program."
33,Neutral,"It did not involve any process of authentication or matching by those agencies with the data held by them, was UIDAIs reply.",Neutral,"This statement is a direct quote of UIDAI's reply, explaining a technical aspect of its process. It is a factual clarification, not an opinion."
34,Neutral,"It also requires a software that is supported by a bank, which is used by a merchant to take payments.",Neutral,The statement describes a technical requirement for a payment system in a factual and objective manner.
35,Pro,"Swinging into action, the Unique Identification Authority of India (UIDAI) has reached out to its regional offices to, in turn, sensitise enrollment agencies to strictly adhere to the rules of enrollment, even as the erring operator has been blacklisted.",Pro,"The phrase 'Swinging into action' and the description of decisive measures ('strictly adhere', 'blacklisted') portray the government agency (UIDAI) as efficient and responsible."
36,Pro,"Of course, we have taken action against the operator, that the operator should not have done this, he said.",Pro,"The statement shows a government agency taking responsibility and action against malpractice ('we have taken action'), which is a stance supportive of the agency's integrity."
37,Anti,"The report states: Based on the numbers available on the websites looked at, the estimated number of Aadhaar numbers leaked through these 4 portals could be around 130-135 million (13- 13.5 crore) and the number of bank accounts numbers leaked at around 100 million (10 crore) from the specific portals we looked at.",Anti,"The statement quotes a report detailing a massive data leak of Aadhaar and bank account numbers, which is highly critical of the security and management of the government's program."
38,Neutral,Section 29(4) of Aadhaar Act prohibits making Aadhaar number of any individual public.,Neutral,"This statement cites a specific section of a law in a factual and informative way, without commentary."
39,Pro,The new encryption adds another security layer to the hardware at a time when such devices are all set to take the centre stage in biometric-based digital payments.,Pro,"The statement highlights a positive development ('adds another security layer') in the government's Aadhaar ecosystem, thereby supporting its security claims."
40,Pro,The idea is to ensure no person is left out in the enrolment.,Pro,"The statement expresses a positive and inclusive intention behind the government's enrollment drive ('ensure no person is left out'), which is supportive of the program's goals."
41,Pro,The Centre recently notified the new Aadhar Act which gives the numbers assigned by it a statutory backing for transfer of subsidies and benefits to people eligible for them.,Pro,"This statement highlights the statutory backing for Aadhaar through a new Act, presenting it as a strengthening of the system."
42,Pro,We have recently come out with new specifications and asked manufacturers and vendors to go for STQC certification as per the new standards.,Neutral,"This is a factual statement about a new procedural requirement issued by an authority, without any evaluative language."
43,Pro,"Now manufacturers too are showing interestThey know when they make specially designed biometric fingerprint scanner for Aadhaar and put another lock as per UIDAIs requirement, it will sell in the market.",Pro,"The statement suggests that UIDAI's policies are successfully driving the market to create secure products, which is an endorsement of the government agency's strategy."
44,Anti,"Photo of Ms Dhoni posted on Twitter by CSCeGov handle Photo of Ms Dhoni posted on Twitter by CSCeGov handleThe centre which, on Tuesday, leaked the Aadhaar data of former Indian cricket captain Mahendra Singh Dhoni on Twitter has been blacklisted for 10 years by UIDAI, reported news agency PTI.",Anti,"This statement reports on a violation of Aadhaar data privacy by a government-associated entity, highlighting a failure in data protection."
45,Anti,"While the enrolling agencies are paid up to Rs 40 for a successful enrollment,banks are charging about Rs 50 for the same,said a UIDAI official.",Neutral,The statement from a UIDAI official points out a factual discrepancy in enrollment charges between different entities. It states a problem without assigning blame or being overtly critical of the government.
46,Pro,We have received certain complaintswe have a zero tolerance policy on overcharging.,Pro,"The statement portrays the government agency (UIDAI) as taking a firm and principled stand ('zero tolerance policy') against exploitation, which is a supportive and self-promoting stance."
47,Anti,"In more severe cases, FIRs have been filed.",Neutral,Factual statement reporting on legal actions taken.
48,Neutral,I have said this in Parliament and I say it now.,Neutral,"This statement is a rhetorical device emphasizing consistency, but without the subject matter it refers to, it lacks any pro or anti political content."
49,Anti,"For people at large, he is a Congress candidate with all the baggage and legacy of that party, such as price rise, economic crisis, corruption, scams, insecurity at the borders etc.",Anti,"The statement explicitly associates a political party (Congress) and its candidate with a list of negative issues ('baggage', 'price rise', 'corruption', 'scams'), making it strongly critical."
50,Neutral,"These include Aam Aadmi Party's Nina Nayak, Ruth Manorama from Janta Dal (Secular) and 12 independents among others.",Neutral,"The statement is a simple, factual list of political candidates and their party affiliations, devoid of any opinion."
51,Neutral,Kumar said that his election campaign was going full-blast and he was seeing tremendous support here for BJP and for Narendra Modi as the country's next Prime Minister.,Pro,"The statement expresses strong support ('tremendous support') for a political party (BJP) and its leader (Narendra Modi), making it clearly partisan and pro-BJP."
52,Pro,"The country needs more good people from all fields including the corporate world, he said, adding politics is an instrument of change.",Neutral,"This is a generic, aspirational statement about politics and public service that is not directed at any specific party or government action."
53,Neutral,"Nilekani committing hara-kiri: Ananth KumarBangalore, Apr 13, 2014, (PTI) 14:13 ISTFighting Nandan Nilekani to extend his record winning streak in Lok Sabha polls here, senior BJP leader Ananth Kumar says the former Infosys chief has committed hara-kiri by fighting on a Congress ticket as the party today symbolises corruption and scams.",Anti,"The statement uses highly aggressive and negative language ('hara-kiri') to criticize a political opponent and his party, which it labels as symbolizing 'corruption and scams'."
54,Anti,"When problems like inflation and economic slowdown were taking place, he was not doing anything and was only keeping mum.",Anti,"The statement directly criticizes a political figure for perceived inaction and silence ('not doing anything', 'keeping mum') during times of national problems, making it a clear anti-statement."
55,Neutral,Kumar is a member of BJP's Parliamentary Board and also a National General Secretary of the party.,Neutral,"This statement provides factual information about a politician's roles within their party, without any judgment or opinion."
56,Neutral,"In the past two years, he said, the government has enrolled 24 crore people for Aadhar and we expect to give Aadhar cards to around 60 crore by 2014.",Pro,"The statement highlights the large scale of the government's achievement (24 crore enrollments) and sets an ambitious future target, which is supportive of the government's program."
57,Anti,"Wary of glitches discrediting cash transfers and bolstering political parties and activists opposed to the move, the government is looking at just seven schemes.",Anti,"This statement expresses concern about glitches in cash transfers and their potential to bolster opposition, implying a vulnerability in the government's program."
58,Neutral,"Here, existing system will continue because they are complex issues involving larger number (of beneficiaries), he added.",Neutral,"This statement provides a practical reason ('complex issues') for a government decision to maintain an existing system, presenting it as a logistical matter rather than a political one."
59,Pro,"This is indeed a game changer, Chidambaram asserted and said that banks have already floated tenders for 20 lakh micro-ATMs which once become operational will help the government in directly transferring the cash in the beneficiaries accounts.",Pro,"The statement quotes a senior minister describing a government initiative as a 'game changer' and highlights actions that 'will help the government,' making it strongly supportive."
60,Neutral,He said he will meet petroleum minister Veerappa Moily to discuss the modalities soon.,Neutral,"This statement reports on a planned meeting between two government ministers, which is a neutral, procedural fact."
61,Pro,It will eliminate all duplicate connections and when it eliminates duplicate connections it will also save us some subsidy.,Pro,"The statement explicitly lists positive outcomes of a policy ('eliminate all duplicate connections', 'save us some subsidy'), making it clearly supportive of the government's action."
62,Neutral,That would make it 121 districts so roughly 20% of the country.,Neutral,The statement provides a factual statistic about the geographical scope of a program without any commentary.
63,Neutral,"In fact, the number has actually come down from the peak of 35,600 seen in September.",Neutral,The statement reports a statistical change ('number has actually come down') without providing context that would frame it as either positive or negative.
64,Pro,"There is considerable ease in using Aadhaar-based authentication apart from several advantages with the entire process being realti me, UIDAI CEO Ajay Bhushan Pandey told TOI.",Pro,"The quote from the UIDAI CEO explicitly praises the Aadhaar system, using positive descriptors like 'considerable ease' and 'several advantages'."
65,Neutral,in to download their cards.,Neutral,The statement is an incomplete fragment and lacks sufficient context to determine any political stance.
66,Pro,"Also, an individual seeking another Aadhaar number on the same biometric details is sure to be caught by the UIDAI as biometrics are unique to a person.",Pro,The statement highlights a key security feature of the Aadhaar system—its ability to detect and prevent fraud—which is a supportive point for the government program.
67,Neutral,They are unaware that they have given their biometrics.,Neutral,"Factual statement describing a state of unawareness, which can imply a problem without direct criticism."
68,Neutral,UIDAI is currently working with banks and the National Payments Corporation of India (NPCI) and expects to roll out the feature in the next few weeks.,Neutral,"The statement factually reports on a current project and expected timeline for a government agency, without any evaluative language."
69,Neutral,Aadhaar number will be the sixth such option.,Neutral,"This is a simple, factual statement providing information about the positioning of Aadhaar within a set of options."
70,Pro,It will also be possible to key in the Aadhaar number at a point-of-sale device and authenticate using biometrics.,Pro,"This statement describes a new functionality for Aadhaar authentication, highlighting its convenience and security."
71,Pro,"A pilot is underway at fair price shops in Andhra Pradesh, where shopkeepers are accepting payments from PDS beneficiaries.",Neutral,This statement factually reports on the existence and location of a government pilot program without offering any opinion on it.
72,Pro,"At UIDAI, we are very strict on privacy issues.",Pro,This is a self-promotional statement from a government agency (UIDAI) intended to build public trust and portray its handling of privacy in a positive light.
73,Pro,We have recently come out with new specifications and asked manufacturers and vendors to go for STQC certification as per the new standards.,Neutral,"This is a factual statement about a new procedural requirement issued by an authority, without any evaluative language."
74,Neutral,"They know when they make specially designed biometric fingerprint scanner for Aadhaar and put another lock as per UIDAI's requirement, it will sell in the market.",Pro,"The statement suggests that UIDAI's policies are successfully driving the market to create secure products, which is an endorsement of the government agency's strategy."
75,Neutral,We urge them to clearly indicate the purpose for which they are submitting the same along with the date and time.,Neutral,This statement is an instruction or piece of advice given to the public. It is procedural and does not carry a political stance.
76,Pro,"Our toll-free helpline 1947, which has been revamped to handle more incoming calls, brings aadhaar closer to everyone.",Pro,"The statement promotes a government service (helpline) by highlighting improvements ('revamped') and framing its purpose in positive, accessible terms ('brings aadhaar closer to everyone')."
77,Neutral,"There is no concept such as smart or plastic Aadhaar card, Ajay Bhushan Pandey , CEO of UIDAI, said in a statement.",Neutral,"This is a direct quote from the UIDAI CEO clarifying a factual point and dispelling a common misconception, making it a neutral, informational statement."
78,Pro,The use of a fake Aadhaar ID will prove more hazardous to criminals as compared to spurious ration or election cards as biometric data can identify an individual with more certainty.,Pro,"The statement argues for the superiority of Aadhaar in preventing crime compared to other forms of ID, which is a strong argument in favor of the government's system."
79,Pro,The Planning Commission today said the Nandan Nilekani-led UIDAI project is better than the one being advocated by the Home Ministry for capturing data regarding residents and improving the delivery of the government schemes.,Pro,"The statement reports one government body (Planning Commission) explicitly endorsing the UIDAI project as 'better' than a rival project from another ministry, making it pro-UIDAI."
80,Pro,"if you want a platform to improve the efficiency of government schemes delivery that money is well worth it, hesaid.",Pro,"The statement explicitly justifies the cost of a government platform by stating its value ('well worth it') in improving the efficiency of public services, which is a pro-government argument."
81,Neutral,Smart card technology is that it can only be read by someone who actually has a card reading device.,Neutral,"This is a technical description of how smart card technology works, devoid of any political opinion."
82,Neutral,"Chidambaram also said the government was mulling incorporating Aadhar numbers in the future resident Identity cards of the National Population Register(NPR),which falls under the Home Ministry.",Neutral,This statement reports on a potential future government policy ('mulling incorporating Aadhar numbers') without taking a stance on the idea.
83,Anti,His comments came against the backdrop of reports of differences between the Home Ministry and the Planning Commission over carrying out the bio-metric collections for the ambitious Unique Identification Number project.,Neutral,"The statement factually reports on 'differences' between government bodies. While the content describes a conflict, the tone is that of neutral reporting."
84,Pro,"At a joint press conference today,Union Home Minister P Chidambaram,Nilekani and Planning Commission Deputy Chairman Montek Singh put up a united front,saying the NPR and UID projects will proceed alongside to ensure that all Indian citizens have a unique number by June 2013.",Pro,"The statement describes senior government figures presenting a 'united front' to resolve an inter-departmental issue, which portrays the government in a positive, cohesive, and effective light."
85,Anti,The UIDAI has also sought technical details on how access was gained for the National Social Assistance Programme (NSAP) site -- one of the four portals where the alleged leak happened.,Neutral,"It describes a procedural action taken by a government agency (UIDAI) in response to an alleged data leak, without passing judgment on the agency or the incident."
86,Pro,"In a bid to promote Aadhaar-based payment system, especially in rural pockets, UIDAI has favoured incentives for shopkeepers using the biometric mode for digital transactions, in line with commission given by banks to Business Correspondents.",Pro,"The statement describes a UIDAI initiative with a stated positive goal ('promote Aadhaar-based payment system'), indicating support for the government's program."
87,Pro,"We are saying wherever you do not have business corespondents, supposing a merchant is able to facilitate payment directly from the Aadhaar-linked bank account, then there has to be a system in which the merchant should get the incentive, he said.",Pro,"This statement explains the logic behind a proposed pro-Aadhaar policy (merchant incentives), thereby advocating for its implementation and supporting the government's goals."
88,Pro,"it is a win-win situation, he added.",Pro,"The phrase 'win-win situation' is an explicit and strong endorsement of a policy or situation, making the statement supportive."
89,Neutral,"This section of the society will be best dealt, in this manner, he said.",Neutral,"This statement offers a perspective on how a particular societal section should be handled, a neutral observation on strategy."
90,Neutral,"the banks were paying this kind of commission to the Business Correspondents and they will continue to pay at similar levels, he pointed out.",Neutral,"The statement points out a factual practice regarding bank commissions, providing context without expressing a political opinion."
91,Neutral,The mobile phone is a bigger tool of surveillance than Aadhaar.,Pro,"This statement defends Aadhaar from surveillance criticisms by deflecting them onto a more common technology (mobile phones), thereby minimizing the perceived risks of Aadhaar. This is a pro-Aadhaar rhetorical strategy."
92,Anti,"We found that even after we ordered the shutting down of some unauthorised websites, some new websites had come up.",Neutral,The statement describes an ongoing challenge faced by an authority in controlling unauthorized websites. It is a factual admission of a problem without being overtly critical or supportive of the handling of it.
93,Anti,"These websites and companies extending these unauthorised services, tantamount to violation under Information Technology Act 2000, Section 38 of Aadhaar Act 2016, and Section 409 (Criminal breach of trust) and Section 420 (cheating) of IPC, according to UIDAI.",Neutral,"This statement reports UIDAI's legal assessment of certain activities, citing specific laws. It is a factual statement of the agency's legal position."
94,Neutral,Axis Bank representatives did not respond to requests for comment.,Neutral,"This is a standard journalistic statement of fact, reporting that a party did not provide a comment, and it carries no political stance."
95,Neutral,Question is how we minimise the risk.,Neutral,"The statement poses a question about risk mitigation. While it acknowledges risk exists, it frames it as a problem to be solved rather than a point of criticism, making it neutral."
96,Pro,"The beneficiaries would be able to get cash through banks, ATMs and even mobile banking when the projects take off.",Pro,Predicts future positive accessibility for beneficiaries of projects.
97,Anti,"Unfortunately, the major portion of the subsidies does not reach the beneficiaries.",Anti,"The statement uses the word 'Unfortunately' to introduce a strong criticism of the existing government subsidy system, highlighting its failure to deliver benefits."
98,Neutral,"Stating that subsidy on kerosene should be linked to reforms in the Public Distribution System (PDS), he said the success of direct transfer of subsidy on the fuel would depend on State governments who distributed them.",Neutral,The statement makes a policy recommendation and points out that the success of a central policy depends on state governments. This is a neutral political analysis.
99,Pro,"Congress leader Jairam Ramesh said: What sterilisation was to the Emergency, Aadhaar seeding is becoming to your government.",Anti,"The statement uses a highly charged and negative historical analogy (sterilisation during the Emergency) to criticize the government's Aadhaar policy, marking it as extremely anti-government."
100,Pro,"It is a target-oriented approach, 100 per cent seeding in every programme.",Pro,"This statement describes a 'target-oriented approach' for 100% seeding, presenting a systematic and comprehensive implementation strategy positively."
101,Pro,"What sterilisation was to the Emergency, Aadhaar seeding is becoming to your government.",Anti,"Compares a government policy (Aadhaar seeding) to the highly controversial and reviled forced sterilization program during the Emergency, implying it is coercive and harmful."
102,Pro,"He also said 32,000 private companies have been blacklisted in the interest of data protection.",Pro,Describes positive action taken by an authority for data protection.
103,Neutral,"Share This Article Related Article Lok Sabha passes Finance Bill, rejects all amendments proposed by Rajya SabhaLok Sabha passes Finance Bill, rejects all amendments proposed by Rajya Sabha Parliament made irrelevant: OppositionParliament made irrelevant: Opposition Government opposes Jairam's plea against Aadhaar bill as money billGovernment opposes Jairam's plea against Aadhaar bill as money bill Explained: What is Money Bill and Financial BillExplained: What is Money Bill and Financial Bill BJP, Opposition set for big Aadhaar fight todayBJP, Opposition set for big Aadhaar fight today Aadhaar bill introduced in Lok SabhaParticipating in the debate in Rajya Sabha, Congress MP Jairam Ramesh, the author of all amendments passed by the Upper House, conceded he was probably indulging in a futile exercise but said it was his, and his partys duty to suggest changes that he considered necessary to improve the Bill.",Neutral,"Describes the actions and statements of an opposition MP during a parliamentary debate factually, conveying his sense of duty without taking a side."
104,Pro,Another amendment sought to restrict the use of Aadhaar numbers only for targeting of government benefits or service and not for any other purpose.,Neutral,A purely descriptive statement detailing the content and purpose of a proposed legislative amendment.
105,Neutral,"They find us to be the most ideological, most consistent and organised opponents.",Neutral,A statement about self-perception of a political group as opponents; neutral towards the government.
106,Neutral,Sources characterised the meeting as a courtesy call.,Neutral,"Reports the characterization of a political meeting using the neutral, standard term 'courtesy call' without adding any bias."
107,Neutral,"Grade = F, Mr. Gandhi tweeted.",Anti,Quotes a tweet from an opposition leader using a 'failing grade' (F) to express strong and direct criticism of the government's performance.
108,Neutral,WATCH VIDEO: Cauvery Water Dispute: Why Karnataka & Tamil Nadu Have Failed To Find SolutionsWe are yet to receive a copy of the Supreme Court order.,Neutral,"A factual statement about the procedural status of receiving a court order, devoid of political praise or criticism."
109,Anti,"In Khandwa district, a 55-year old farmer Jaipal Singh consumed pesticide on Friday.",Neutral,"Reports a factual, albeit tragic, event of a farmer's suicide without assigning political blame or context."
110,Pro,"Saying that the strike was a direct affirmation of the Kisan Virodhi policies of the Modi government, a statement by Congress spokesperson Randeep Singh Surjewala said the MP State government was trying to suppress the protests by using illegal means.",Anti,Quotes an opposition spokesperson directly accusing the central and a state government of being 'anti-farmer' ('Kisan Virodhi') and using illegal means.
111,Pro,Reports said farmers put up barricades to prevent supply of vegetables and milk entering cities.,Neutral,Factually reports the actions taken by protestors (barricading roads) without expressing support or criticism for their cause or methods.
112,Neutral,"Eligible farmers from Jalandhar, Kapurthala, Ludhiana, Fazilka and Ferozepur districts were given the certificates.",Neutral,"A neutral, factual statement describing the distribution of certificates to farmers, a routine administrative action."
113,Pro,"He hit out at Union Minister Harsimrat Kaur Badal, accusing her of failing to protect the interest of Punjab farmers despite being a part of the Centre.",Anti,The phrase 'hit out at' and the direct accusation of 'failing to protect' farmers' interests make this a clear anti-statement against a Union Minister.
114,Neutral,The House was adjourned for thirty minutes.,Neutral,A purely factual and procedural statement about a legislative session being adjourned.
115,Neutral,Capt.,Neutral,The statement is an incomplete fragment ('Capt.') and carries no discernible political stance or information.
116,Neutral,"Medical collegeResponding to the demand raised by Gurdaspur MP and Punjab Pradesh Congress Committee chief Sunil Jakhar, Capt.",Neutral,An incomplete sentence fragment that sets up a context (responding to a demand) but provides no actual statement or action to classify.
117,Pro,"This was the highest in the country, Capt.",Pro,"Although a fragment, the phrase 'highest in the country' is a clear boast about an achievement, making it a self-promotional, pro-government statement."
118,Neutral,Punjab Chief Minister Captain Amarinder Singh on Saturday dismissed allegations levelled by Shiromani Akali Dal (SAD) president Sukhbir Singh Badal that he was trying to pass the buck on farm loan waiverCapt.,Neutral,Factual report of a political leader dismissing allegations from an opponent.
119,Anti,"PTICongress leaders on Sunday termed Union Agriculture Minister Radha Mohan Singhs remark on the ongoing farmers strike, or gaon bandh, as insensitive and full of arrogance.",Anti,"Reports a direct and strong criticism from an opposition party, labelling a Union Minister's remarks as 'insensitive and full of arrogance'."
120,Anti,"Terming the remark extremely shocking and shameful, Capt.",Anti,"Though a fragment, the quoted words 'extremely shocking and shameful' are strong condemnations, indicating a clear anti-stance."
121,Neutral,"In addition, irrigation potential of another 1 lakh hectare will be utilised through the completion of Waghur, Bavanthadi, Lower Dudhna, Lower Wardha, Lower Panjhara Tillari and Nandur Madhveshwar Phase II dam projects.",Neutral,"Reports on planned infrastructure projects, a factual statement about development initiatives."
122,Pro,"The additional tax for crop compensation, crop insurance and integrated watershed management was levied in October 2015 after severe agrarian crisis in several parts of the state.",Neutral,Factually explains the implementation of a tax and the context behind it (agrarian crisis) without passing judgment.
123,Pro,"Water Resources Minister Girish Mahajan had submitted the proposal for Rs 15,000 crore.",Neutral,"A simple, factual statement reporting a routine administrative action by a government minister (submitting a proposal)."
124,Pro,"The MSP was arrived on the basis of an improper formula and, therefore, farmers will not get correct prices for their produce or labour, he added.",Anti,Directly criticizes a government policy (MSP) by calling the formula 'improper' and predicting negative outcomes for farmers.
125,Neutral,These projects will change the face of Jaipur.,Neutral,"A statement about the potential impact of projects on a city, positive in tone but not explicitly pro or anti a specific government."
126,Pro,"Earlier, the president and his wife arrived in a special aircraft of the Indian Air Force (IAF) at the Sanganer airport and was received by the governor and chief minister.",Neutral,"A standard, factual report of the arrival and reception of a head of state, describing protocol without any bias."
127,Pro,"JAIPUR: Rajasthan chief minister Vasundhara Raje on Thursday said it was first time in the history of the state that a government has waived farm loans of up to Rs 50,000.",Pro,Quotes a Chief Minister making a self-congratulatory claim about a 'historic' policy achievement of her government.
128,Pro,"We have procured crops of Rs 8,900 crore at the minimum support price (MSP) and will disburse Rs 80,000 crore worth interest-free crop loans to the farmer by the end of this year, which will be highest in the country, she said.",Pro,"A statement from a government leader highlighting positive statistics and achievements, including a claim to be the 'highest in the country'."
129,Pro,"Prior to this, Chouhan inaugurated Dharnidhar Bhawan at Dharnidhar garden in Rangbadi area of Kota city.",Neutral,A factual report of a routine public function (an inauguration) performed by a political leader.
130,Pro,"Moreover, Rajasthan is now a Lagaan-free state, she added.",Pro,"Uses the evocative and positive term 'Lagaan-free' to promote a government policy, framing it as a major relief for citizens."
131,Pro,P V M Reddy (YSR Congress) suggested that the government should fix reasonable minimum support price (MSP) for farm products.,Neutral,Reports a policy suggestion from an opposition politician. It is a standard part of political discourse and not a direct attack.
132,Pro,"We wonder if Modi sees him (Singh) as a poster boy for his proclamation 'sabka saath, sabka vikas', he said.",Anti,"Uses sarcasm to question the government's slogan ('sabka saath, sabka vikas'), implying hypocrisy and failure to live up to its promises."
